CL = 0.0001 | alpha = 0.9999 | z_{1-alpha/2} = 0.0001253314140597
CL = 0.0002 | alpha = 0.9998 | z_{1-alpha/2} = 0.0002506628300880
CL = 0.0003 | alpha = 0.9997 | z_{1-alpha/2} = 0.0003759942500538
CL = 0.0004 | alpha = 0.9996 | z_{1-alpha/2} = 0.0005013256759256
CL = 0.0005 | alpha = 0.9995 | z_{1-alpha/2} = 0.0006266571096723
CL = 0.0006 | alpha = 0.9994 | z_{1-alpha/2} = 0.0007519885532626
CL = 0.0007 | alpha = 0.9993 | z_{1-alpha/2} = 0.0008773200086650
CL = 0.0008 | alpha = 0.9992 | z_{1-alpha/2} = 0.0010026514778483
CL = 0.0009 | alpha = 0.9991 | z_{1-alpha/2} = 0.0011279829627813
CL = 0.0010 | alpha = 0.9990 | z_{1-alpha/2} = 0.0012533144654326
CL = 0.0011 | alpha = 0.9989 | z_{1-alpha/2} = 0.0013786459877709
CL = 0.0012 | alpha = 0.9988 | z_{1-alpha/2} = 0.0015039775317650
CL = 0.0013 | alpha = 0.9987 | z_{1-alpha/2} = 0.0016293090993836
CL = 0.0014 | alpha = 0.9986 | z_{1-alpha/2} = 0.0017546406925953
CL = 0.0015 | alpha = 0.9985 | z_{1-alpha/2} = 0.0018799723133690
CL = 0.0016 | alpha = 0.9984 | z_{1-alpha/2} = 0.0020053039636735
CL = 0.0017 | alpha = 0.9983 | z_{1-alpha/2} = 0.0021306356454772
CL = 0.0018 | alpha = 0.9982 | z_{1-alpha/2} = 0.0022559673607489
CL = 0.0019 | alpha = 0.9981 | z_{1-alpha/2} = 0.0023812991114576
CL = 0.0020 | alpha = 0.9980 | z_{1-alpha/2} = 0.0025066308995718
CL = 0.0021 | alpha = 0.9979 | z_{1-alpha/2} = 0.0026319627270603
CL = 0.0022 | alpha = 0.9978 | z_{1-alpha/2} = 0.0027572945958918
CL = 0.0023 | alpha = 0.9977 | z_{1-alpha/2} = 0.0028826265080352
CL = 0.0024 | alpha = 0.9976 | z_{1-alpha/2} = 0.0030079584654592
CL = 0.0025 | alpha = 0.9975 | z_{1-alpha/2} = 0.0031332904701325
CL = 0.0026 | alpha = 0.9974 | z_{1-alpha/2} = 0.0032586225240240
CL = 0.0027 | alpha = 0.9973 | z_{1-alpha/2} = 0.0033839546291022
CL = 0.0028 | alpha = 0.9972 | z_{1-alpha/2} = 0.0035092867873361
CL = 0.0029 | alpha = 0.9971 | z_{1-alpha/2} = 0.0036346190006944
CL = 0.0030 | alpha = 0.9970 | z_{1-alpha/2} = 0.0037599512711459
CL = 0.0031 | alpha = 0.9969 | z_{1-alpha/2} = 0.0038852836006595
CL = 0.0032 | alpha = 0.9968 | z_{1-alpha/2} = 0.0040106159912038
CL = 0.0033 | alpha = 0.9967 | z_{1-alpha/2} = 0.0041359484447478
CL = 0.0034 | alpha = 0.9966 | z_{1-alpha/2} = 0.0042612809632602
CL = 0.0035 | alpha = 0.9965 | z_{1-alpha/2} = 0.0043866135487099
CL = 0.0036 | alpha = 0.9964 | z_{1-alpha/2} = 0.0045119462030658
CL = 0.0037 | alpha = 0.9963 | z_{1-alpha/2} = 0.0046372789282965
CL = 0.0038 | alpha = 0.9962 | z_{1-alpha/2} = 0.0047626117263710
CL = 0.0039 | alpha = 0.9961 | z_{1-alpha/2} = 0.0048879445992581
CL = 0.0040 | alpha = 0.9960 | z_{1-alpha/2} = 0.0050132775489267
CL = 0.0041 | alpha = 0.9959 | z_{1-alpha/2} = 0.0051386105773456
CL = 0.0042 | alpha = 0.9958 | z_{1-alpha/2} = 0.0052639436864838
CL = 0.0043 | alpha = 0.9957 | z_{1-alpha/2} = 0.0053892768783101
CL = 0.0044 | alpha = 0.9956 | z_{1-alpha/2} = 0.0055146101547934
CL = 0.0045 | alpha = 0.9955 | z_{1-alpha/2} = 0.0056399435179027
CL = 0.0046 | alpha = 0.9954 | z_{1-alpha/2} = 0.0057652769696069
CL = 0.0047 | alpha = 0.9953 | z_{1-alpha/2} = 0.0058906105118748
CL = 0.0048 | alpha = 0.9952 | z_{1-alpha/2} = 0.0060159441466754
CL = 0.0049 | alpha = 0.9951 | z_{1-alpha/2} = 0.0061412778759776
CL = 0.0050 | alpha = 0.9950 | z_{1-alpha/2} = 0.0062666117017505
CL = 0.0051 | alpha = 0.9949 | z_{1-alpha/2} = 0.0063919456259629
CL = 0.0052 | alpha = 0.9948 | z_{1-alpha/2} = 0.0065172796505838
CL = 0.0053 | alpha = 0.9947 | z_{1-alpha/2} = 0.0066426137775824
CL = 0.0054 | alpha = 0.9946 | z_{1-alpha/2} = 0.0067679480089274
CL = 0.0055 | alpha = 0.9945 | z_{1-alpha/2} = 0.0068932823465880
CL = 0.0056 | alpha = 0.9944 | z_{1-alpha/2} = 0.0070186167925333
CL = 0.0057 | alpha = 0.9943 | z_{1-alpha/2} = 0.0071439513487320
CL = 0.0058 | alpha = 0.9942 | z_{1-alpha/2} = 0.0072692860171535
CL = 0.0059 | alpha = 0.9941 | z_{1-alpha/2} = 0.0073946207997666
CL = 0.0060 | alpha = 0.9940 | z_{1-alpha/2} = 0.0075199556985405
CL = 0.0061 | alpha = 0.9939 | z_{1-alpha/2} = 0.0076452907154443
CL = 0.0062 | alpha = 0.9938 | z_{1-alpha/2} = 0.0077706258524471
CL = 0.0063 | alpha = 0.9937 | z_{1-alpha/2} = 0.0078959611115179
CL = 0.0064 | alpha = 0.9936 | z_{1-alpha/2} = 0.0080212964946259
CL = 0.0065 | alpha = 0.9935 | z_{1-alpha/2} = 0.0081466320037403
CL = 0.0066 | alpha = 0.9934 | z_{1-alpha/2} = 0.0082719676408303
CL = 0.0067 | alpha = 0.9933 | z_{1-alpha/2} = 0.0083973034078648
CL = 0.0068 | alpha = 0.9932 | z_{1-alpha/2} = 0.0085226393068132
CL = 0.0069 | alpha = 0.9931 | z_{1-alpha/2} = 0.0086479753396446
CL = 0.0070 | alpha = 0.9930 | z_{1-alpha/2} = 0.0087733115083282
CL = 0.0071 | alpha = 0.9929 | z_{1-alpha/2} = 0.0088986478148333
CL = 0.0072 | alpha = 0.9928 | z_{1-alpha/2} = 0.0090239842611291
CL = 0.0073 | alpha = 0.9927 | z_{1-alpha/2} = 0.0091493208491848
CL = 0.0074 | alpha = 0.9926 | z_{1-alpha/2} = 0.0092746575809698
CL = 0.0075 | alpha = 0.9925 | z_{1-alpha/2} = 0.0093999944584533
CL = 0.0076 | alpha = 0.9924 | z_{1-alpha/2} = 0.0095253314836047
CL = 0.0077 | alpha = 0.9923 | z_{1-alpha/2} = 0.0096506686583932
